0_coordinate1	1_coordinate1
0_coordinate67	266_coordinate67
0_coordinate68	272_coordinate68
0_coordinate69	277_coordinate69
0_coordinate70	280_coordinate70
0_coordinate71	282_coordinate71
0_coordinate72	292_coordinate72
0_coordinate73	295_coordinate73
0_coordinate74	298_coordinate74
0_coordinate75	302_coordinate75
0_coordinate76	315_coordinate76
0_coordinate77	318_coordinate77
0_coordinate78	323_coordinate78
0_coordinate79	326_coordinate79
0_coordinate80	329_coordinate80
0_coordinate81	335_coordinate81
0_coordinate82	339_coordinate82
0_coordinate83	346_coordinate83
0_coordinate84	350_coordinate84
0_coordinate85	352_coordinate85
0_coordinate86	355_coordinate86
0_coordinate87	357_coordinate87
0_coordinate88	363_coordinate88
0_coordinate89	366_coordinate89
0_coordinate90	372_coordinate90
0_coordinate91	376_coordinate91
0_coordinate92	381_coordinate92
0_coordinate93	383_coordinate93
0_coordinate94	386_coordinate94
0_coordinate95	390_coordinate95
0_coordinate96	394_coordinate96
0_coordinate97	397_coordinate97
0_coordinate98	402_coordinate98
0_coordinate99	404_coordinate99
0_coordinate100	410_coordinate100
0_coordinate101	413_coordinate101
0_coordinate102	415_coordinate102
0_coordinate103	420_coordinate103
0_coordinate104	427_coordinate104
0_coordinate105	432_coordinate105
0_coordinate106	434_coordinate106
0_coordinate107	436_coordinate107
0_coordinate108	440_coordinate108
0_coordinate109	445_coordinate109
0_coordinate110	451_coordinate110
0_coordinate111	453_coordinate111
0_coordinate112	460_coordinate112
0_coordinate113	465_coordinate113
0_coordinate114	469_coordinate114
0_coordinate115	473_coordinate115
0_coordinate116	478_coordinate116
0_coordinate117	484_coordinate117
0_coordinate118	489_coordinate118
0_coordinate119	494_coordinate119
0_coordinate120	497_coordinate120
0_coordinate121	499_coordinate121
0_coordinate122	507_coordinate122
1_coordinate123	3_coordinate123
1_coordinate124	13_coordinate124
1_coordinate125	27_coordinate125
1_coordinate126	49_coordinate126
1_coordinate127	51_coordinate127
1_coordinate128	53_coordinate128
1_coordinate129	56_coordinate129
1_coordinate130	64_coordinate130
1_coordinate131	66_coordinate131
1_coordinate132	76_coordinate132
1_coordinate133	78_coordinate133
1_coordinate134	80_coordinate134
1_coordinate135	94_coordinate135
1_coordinate136	102_coordinate136
1_coordinate137	130_coordinate137
1_coordinate138	151_coordinate138
1_coordinate139	154_coordinate139
1_coordinate140	161_coordinate140
1_coordinate141	167_coordinate141
1_coordinate142	176_coordinate142
1_coordinate143	184_coordinate143
1_coordinate144	187_coordinate144
1_coordinate145	196_coordinate145
1_coordinate146	203_coordinate146
1_coordinate147	205_coordinate147
1_coordinate148	215_coordinate148
1_coordinate149	226_coordinate149
1_coordinate150	269_coordinate150
1_coordinate151	273_coordinate151
1_coordinate152	286_coordinate152
1_coordinate153	312_coordinate153
1_coordinate154	320_coordinate154
1_coordinate155	330_coordinate155
1_coordinate156	337_coordinate156
1_coordinate157	343_coordinate157
1_coordinate158	354_coordinate158
1_coordinate159	369_coordinate159
1_coordinate160	374_coordinate160
1_coordinate161	387_coordinate161
1_coordinate162	389_coordinate162
1_coordinate163	418_coordinate163
1_coordinate164	422_coordinate164
1_coordinate165	426_coordinate165
1_coordinate166	428_coordinate166
1_coordinate167	439_coordinate167
1_coordinate168	443_coordinate168
1_coordinate169	450_coordinate169
1_coordinate170	456_coordinate170
1_coordinate171	459_coordinate171
1_coordinate172	461_coordinate172
1_coordinate173	471_coordinate173
1_coordinate174	476_coordinate174
1_coordinate175	480_coordinate175
1_coordinate176	491_coordinate176
1_coordinate177	509_coordinate177
1_coordinate178	511_coordinate178
2_coordinate179	11_coordinate179
2_coordinate180	15_coordinate180
2_coordinate181	18_coordinate181
2_coordinate182	23_coordinate182
2_coordinate183	29_coordinate183
2_coordinate184	36_coordinate184
2_coordinate185	38_coordinate185
2_coordinate186	59_coordinate186
2_coordinate187	82_coordinate187
2_coordinate188	88_coordinate188
2_coordinate189	95_coordinate189
2_coordinate190	105_coordinate190
2_coordinate191	107_coordinate191
2_coordinate192	113_coordinate192
2_coordinate193	117_coordinate193
2_coordinate194	134_coordinate194
2_coordinate195	142_coordinate195
2_coordinate196	146_coordinate196
2_coordinate197	150_coordinate197
2_coordinate198	152_coordinate198
2_coordinate199	186_coordinate199
2_coordinate200	190_coordinate200
2_coordinate201	198_coordinate201
2_coordinate202	213_coordinate202
2_coordinate203	234_coordinate203
2_coordinate204	250_coordinate204
2_coordinate205	252_coordinate205
2_coordinate206	257_coordinate206
2_coordinate207	275_coordinate207
2_coordinate208	284_coordinate208
2_coordinate209	299_coordinate209
2_coordinate210	307_coordinate210
2_coordinate211	310_coordinate211
2_coordinate212	315_coordinate212
2_coordinate213	318_coordinate213
2_coordinate214	322_coordinate214
2_coordinate215	335_coordinate215
2_coordinate216	344_coordinate216
2_coordinate217	352_coordinate217
2_coordinate218	356_coordinate218
2_coordinate219	376_coordinate219
2_coordinate220	395_coordinate220
2_coordinate221	398_coordinate221
2_coordinate222	402_coordinate222
2_coordinate223	406_coordinate223
2_coordinate224	408_coordinate224
2_coordinate225	414_coordinate225
2_coordinate226	431_coordinate226
2_coordinate227	446_coordinate227
2_coordinate228	448_coordinate228
2_coordinate229	454_coordinate229
2_coordinate230	460_coordinate230
2_coordinate231	462_coordinate231
2_coordinate232	468_coordinate232
2_coordinate233	482_coordinate233
2_coordinate234	487_coordinate234
2_coordinate235	507_coordinate235
3_coordinate236	0_coordinate236
3_coordinate237	3_coordinate237
3_coordinate238	8_coordinate238
3_coordinate239	21_coordinate239
3_coordinate240	32_coordinate240
3_coordinate241	40_coordinate241
3_coordinate242	44_coordinate242
3_coordinate243	56_coordinate243
3_coordinate244	83_coordinate244
3_coordinate245	85_coordinate245
3_coordinate246	92_coordinate246
3_coordinate247	94_coordinate247
3_coordinate248	96_coordinate248
3_coordinate249	116_coordinate249
3_coordinate250	118_coordinate250
3_coordinate251	121_coordinate251
3_coordinate252	153_coordinate252
3_coordinate253	174_coordinate253
3_coordinate254	176_coordinate254
3_coordinate255	189_coordinate255
3_coordinate256	191_coordinate256
3_coordinate257	199_coordinate257
3_coordinate258	209_coordinate258
3_coordinate259	211_coordinate259
3_coordinate260	218_coordinate260
3_coordinate261	226_coordinate261
3_coordinate262	237_coordinate262
3_coordinate263	246_coordinate263
3_coordinate264	265_coordinate264
3_coordinate265	270_coordinate265
3_coordinate266	273_coordinate266
3_coordinate267	286_coordinate267
3_coordinate268	288_coordinate268
3_coordinate269	294_coordinate269
3_coordinate270	313_coordinate270
3_coordinate271	317_coordinate271
3_coordinate272	324_coordinate272
3_coordinate273	327_coordinate273
3_coordinate274	338_coordinate274
3_coordinate275	350_coordinate275
3_coordinate276	358_coordinate276
3_coordinate277	360_coordinate277
3_coordinate278	364_coordinate278
3_coordinate279	367_coordinate279
3_coordinate280	370_coordinate280
3_coordinate281	377_coordinate281
3_coordinate282	383_coordinate282
3_coordinate283	386_coordinate283
3_coordinate284	401_coordinate284
3_coordinate285	410_coordinate285
3_coordinate286	412_coordinate286
3_coordinate287	415_coordinate287
3_coordinate288	419_coordinate288
3_coordinate289	425_coordinate289
3_coordinate290	429_coordinate290
3_coordinate291	440_coordinate291
3_coordinate292	459_coordinate292
3_coordinate293	466_coordinate293
3_coordinate294	469_coordinate294
3_coordinate295	472_coordinate295
3_coordinate296	480_coordinate296
3_coordinate297	486_coordinate297
3_coordinate298	494_coordinate298
3_coordinate299	496_coordinate299
3_coordinate300	502_coordinate300
3_coordinate301	504_coordinate301
4_coordinate302	12_coordinate302
4_coordinate303	14_coordinate303
4_coordinate304	20_coordinate304
4_coordinate305	23_coordinate305
4_coordinate306	25_coordinate306
4_coordinate307	34_coordinate307
4_coordinate308	37_coordinate308
4_coordinate309	42_coordinate309
4_coordinate310	52_coordinate310
4_coordinate311	58_coordinate311
4_coordinate312	61_coordinate312
4_coordinate313	70_coordinate313
4_coordinate314	77_coordinate314
4_coordinate315	80_coordinate315
4_coordinate316	86_coordinate316
4_coordinate317	88_coordinate317
4_coordinate318	90_coordinate318
4_coordinate319	98_coordinate319
4_coordinate320	108_coordinate320
4_coordinate321	111_coordinate321
4_coordinate322	120_coordinate322
4_coordinate323	125_coordinate323
4_coordinate324	144_coordinate324
4_coordinate325	152_coordinate325
4_coordinate326	158_coordinate326
4_coordinate327	160_coordinate327
4_coordinate328	162_coordinate328
4_coordinate329	167_coordinate329
4_coordinate330	173_coordinate330
4_coordinate331	180_coordinate331
4_coordinate332	183_coordinate332
4_coordinate333	188_coordinate333
4_coordinate334	197_coordinate334
4_coordinate335	206_coordinate335
4_coordinate336	216_coordinate336
4_coordinate337	233_coordinate337
4_coordinate338	236_coordinate338
4_coordinate339	262_coordinate339
4_coordinate340	268_coordinate340
4_coordinate341	272_coordinate341
4_coordinate342	274_coordinate342
4_coordinate343	277_coordinate343
4_coordinate344	280_coordinate344
4_coordinate345	287_coordinate345
4_coordinate346	290_coordinate346
4_coordinate347	296_coordinate347
4_coordinate348	301_coordinate348
4_coordinate349	306_coordinate349
4_coordinate350	312_coordinate350
4_coordinate351	319_coordinate351
4_coordinate352	326_coordinate352
4_coordinate353	330_coordinate353
4_coordinate354	346_coordinate354
4_coordinate355	349_coordinate355
4_coordinate356	352_coordinate356
4_coordinate357	354_coordinate357
4_coordinate358	356_coordinate358
4_coordinate359	371_coordinate359
4_coordinate360	403_coordinate360
4_coordinate361	407_coordinate361
4_coordinate362	414_coordinate362
4_coordinate363	430_coordinate363
4_coordinate364	434_coordinate364
4_coordinate365	439_coordinate365
4_coordinate366	442_coordinate366
4_coordinate367	445_coordinate367
4_coordinate368	447_coordinate368
4_coordinate369	456_coordinate369
4_coordinate370	460_coordinate370
4_coordinate371	474_coordinate371
4_coordinate372	481_coordinate372
4_coordinate373	491_coordinate373
4_coordinate374	498_coordinate374
4_coordinate375	507_coordinate375
4_coordinate376	509_coordinate376
4_coordinate377	511_coordinate377
5_coordinate378	3_coordinate378
5_coordinate379	5_coordinate379
5_coordinate380	15_coordinate380
5_coordinate381	17_coordinate381
5_coordinate382	27_coordinate382
5_coordinate383	29_coordinate383
5_coordinate384	31_coordinate384
5_coordinate385	33_coordinate385
5_coordinate386	36_coordinate386
5_coordinate387	40_coordinate387
5_coordinate388	46_coordinate388
5_coordinate389	63_coordinate389
5_coordinate390	67_coordinate390
5_coordinate391	73_coordinate391
5_coordinate392	83_coordinate392
5_coordinate393	92_coordinate393
5_coordinate394	106_coordinate394
5_coordinate395	110_coordinate395
5_coordinate396	112_coordinate396
5_coordinate397	123_coordinate397
5_coordinate398	143_coordinate398
5_coordinate399	145_coordinate399
5_coordinate400	147_coordinate400
5_coordinate401	154_coordinate401
5_coordinate402	165_coordinate402
5_coordinate403	169_coordinate403
5_coordinate404	174_coordinate404
5_coordinate405	182_coordinate405
5_coordinate406	185_coordinate406
5_coordinate407	190_coordinate407
5_coordinate408	193_coordinate408
5_coordinate409	199_coordinate409
5_coordinate410	201_coordinate410
5_coordinate411	203_coordinate411
5_coordinate412	214_coordinate412
5_coordinate413	223_coordinate413
5_coordinate414	235_coordinate414
5_coordinate415	243_coordinate415
5_coordinate416	252_coordinate416
5_coordinate417	255_coordinate417
5_coordinate418	266_coordinate418
5_coordinate419	273_coordinate419
5_coordinate420	278_coordinate420
5_coordinate421	281_coordinate421
5_coordinate422	285_coordinate422
5_coordinate423	288_coordinate423
5_coordinate424	315_coordinate424
5_coordinate425	332_coordinate425
5_coordinate426	339_coordinate426
5_coordinate427	342_coordinate427
5_coordinate428	344_coordinate428
5_coordinate429	358_coordinate429
5_coordinate430	384_coordinate430
5_coordinate431	387_coordinate431
5_coordinate432	389_coordinate432
5_coordinate433	391_coordinate433
5_coordinate434	393_coordinate434
5_coordinate435	405_coordinate435
5_coordinate436	419_coordinate436
5_coordinate437	422_coordinate437
5_coordinate438	429_coordinate438
5_coordinate439	436_coordinate439
5_coordinate440	450_coordinate440
5_coordinate441	454_coordinate441
5_coordinate442	457_coordinate442
5_coordinate443	461_coordinate443
5_coordinate444	463_coordinate444
5_coordinate445	469_coordinate445
5_coordinate446	479_coordinate446
5_coordinate447	484_coordinate447
5_coordinate448	510_coordinate448
6_coordinate449	2_coordinate449
6_coordinate450	41_coordinate450
6_coordinate451	48_coordinate451
6_coordinate452	53_coordinate452
6_coordinate453	61_coordinate453
6_coordinate454	71_coordinate454
6_coordinate455	74_coordinate455
6_coordinate456	77_coordinate456
6_coordinate457	100_coordinate457
6_coordinate458	104_coordinate458
6_coordinate459	115_coordinate459
6_coordinate460	125_coordinate460
6_coordinate461	128_coordinate461
6_coordinate462	141_coordinate462
6_coordinate463	158_coordinate463
6_coordinate464	164_coordinate464
6_coordinate465	167_coordinate465
6_coordinate466	179_coordinate466
6_coordinate467	184_coordinate467
6_coordinate468	187_coordinate468
6_coordinate469	195_coordinate469
6_coordinate470	198_coordinate470
6_coordinate471	217_coordinate471
6_coordinate472	219_coordinate472
6_coordinate473	221_coordinate473
6_coordinate474	234_coordinate474
6_coordinate475	236_coordinate475
6_coordinate476	242_coordinate476
6_coordinate477	251_coordinate477
6_coordinate478	256_coordinate478
6_coordinate479	263_coordinate479
6_coordinate480	290_coordinate480
6_coordinate481	294_coordinate481
6_coordinate482	298_coordinate482
6_coordinate483	301_coordinate483
6_coordinate484	304_coordinate484
6_coordinate485	306_coordinate485
6_coordinate486	320_coordinate486
6_coordinate487	324_coordinate487
6_coordinate488	328_coordinate488
6_coordinate489	346_coordinate489
6_coordinate490	348_coordinate490
6_coordinate491	354_coordinate491
6_coordinate492	360_coordinate492
6_coordinate493	382_coordinate493
6_coordinate494	385_coordinate494
6_coordinate495	396_coordinate495
6_coordinate496	401_coordinate496
6_coordinate497	413_coordinate497
6_coordinate498	444_coordinate498
6_coordinate499	448_coordinate499
6_coordinate500	451_coordinate500
6_coordinate501	459_coordinate501
6_coordinate502	466_coordinate502
6_coordinate503	471_coordinate503
6_coordinate504	473_coordinate504
6_coordinate505	476_coordinate505
6_coordinate506	492_coordinate506
6_coordinate507	511_coordinate507
7_coordinate508	10_coordinate508
7_coordinate509	18_coordinate509
7_coordinate510	26_coordinate510
7_coordinate511	30_coordinate511
7_coordinate512	33_coordinate512
7_coordinate513	36_coordinate513
7_coordinate514	44_coordinate514
7_coordinate515	47_coordinate515
7_coordinate516	49_coordinate516
7_coordinate517	57_coordinate517
7_coordinate518	59_coordinate518
7_coordinate519	64_coordinate519
7_coordinate520	75_coordinate520
7_coordinate521	79_coordinate521
7_coordinate522	90_coordinate522
7_coordinate523	93_coordinate523
7_coordinate524	98_coordinate524
7_coordinate525	101_coordinate525
7_coordinate526	106_coordinate526
7_coordinate527	113_coordinate527
7_coordinate528	119_coordinate528
7_coordinate529	121_coordinate529
7_coordinate530	126_coordinate530
7_coordinate531	129_coordinate531
7_coordinate532	140_coordinate532
7_coordinate533	150_coordinate533
7_coordinate534	160_coordinate534
7_coordinate535	166_coordinate535
7_coordinate536	176_coordinate536
7_coordinate537	180_coordinate537
7_coordinate538	190_coordinate538
7_coordinate539	197_coordinate539
7_coordinate540	206_coordinate540
7_coordinate541	210_coordinate541
7_coordinate542	216_coordinate542
7_coordinate543	227_coordinate543
7_coordinate544	229_coordinate544
7_coordinate545	232_coordinate545
7_coordinate546	237_coordinate546
7_coordinate547	239_coordinate547
7_coordinate548	249_coordinate548
7_coordinate549	252_coordinate549
7_coordinate550	260_coordinate550
7_coordinate551	267_coordinate551
7_coordinate552	279_coordinate552
7_coordinate553	289_coordinate553
7_coordinate554	308_coordinate554
7_coordinate555	310_coordinate555
7_coordinate556	316_coordinate556
7_coordinate557	321_coordinate557
7_coordinate558	325_coordinate558
7_coordinate559	338_coordinate559
7_coordinate560	344_coordinate560
7_coordinate561	347_coordinate561
7_coordinate562	351_coordinate562
7_coordinate563	366_coordinate563
7_coordinate564	370_coordinate564
7_coordinate565	373_coordinate565
7_coordinate566	375_coordinate566
7_coordinate567	379_coordinate567
7_coordinate568	384_coordinate568
7_coordinate569	392_coordinate569
7_coordinate570	394_coordinate570
7_coordinate571	404_coordinate571
7_coordinate572	407_coordinate572
7_coordinate573	412_coordinate573
7_coordinate574	414_coordinate574
7_coordinate575	420_coordinate575
7_coordinate576	424_coordinate576
7_coordinate577	429_coordinate577
7_coordinate578	440_coordinate578
7_coordinate579	442_coordinate579
7_coordinate580	450_coordinate580
7_coordinate581	453_coordinate581
7_coordinate582	458_coordinate582
7_coordinate583	491_coordinate583
7_coordinate584	498_coordinate584
7_coordinate585	501_coordinate585
8_coordinate586	3_coordinate586
8_coordinate587	11_coordinate587
8_coordinate588	38_coordinate588
8_coordinate589	46_coordinate589
8_coordinate590	48_coordinate590
8_coordinate591	61_coordinate591
8_coordinate592	71_coordinate592
8_coordinate593	77_coordinate593
8_coordinate594	83_coordinate594
8_coordinate595	89_coordinate595
8_coordinate596	91_coordinate596
8_coordinate597	94_coordinate597
8_coordinate598	96_coordinate598
8_coordinate599	108_coordinate599
8_coordinate600	116_coordinate600
8_coordinate601	128_coordinate601
8_coordinate602	134_coordinate602
8_coordinate603	141_coordinate603
8_coordinate604	146_coordinate604
8_coordinate605	157_coordinate605
8_coordinate606	164_coordinate606
8_coordinate607	177_coordinate607
8_coordinate608	183_coordinate608
8_coordinate609	195_coordinate609
8_coordinate610	211_coordinate610
8_coordinate611	226_coordinate611
8_coordinate612	231_coordinate612
8_coordinate613	236_coordinate613
8_coordinate614	243_coordinate614
8_coordinate615	255_coordinate615
8_coordinate616	278_coordinate616
8_coordinate617	280_coordinate617
8_coordinate618	290_coordinate618
8_coordinate619	307_coordinate619
8_coordinate620	314_coordinate620
8_coordinate621	319_coordinate621
8_coordinate622	324_coordinate622
8_coordinate623	333_coordinate623
8_coordinate624	341_coordinate624
8_coordinate625	346_coordinate625
8_coordinate626	355_coordinate626
8_coordinate627	361_coordinate627
8_coordinate628	364_coordinate628
8_coordinate629	383_coordinate629
8_coordinate630	386_coordinate630
8_coordinate631	403_coordinate631
8_coordinate632	413_coordinate632
8_coordinate633	415_coordinate633
8_coordinate634	433_coordinate634
8_coordinate635	446_coordinate635
8_coordinate636	454_coordinate636
8_coordinate637	457_coordinate637
8_coordinate638	468_coordinate638
8_coordinate639	472_coordinate639
8_coordinate640	480_coordinate640
8_coordinate641	490_coordinate641
8_coordinate642	495_coordinate642
8_coordinate643	499_coordinate643
9_coordinate644	9_coordinate644
9_coordinate645	16_coordinate645
9_coordinate646	22_coordinate646
9_coordinate647	40_coordinate647
9_coordinate648	49_coordinate648
9_coordinate649	57_coordinate649
9_coordinate650	60_coordinate650
9_coordinate651	75_coordinate651
9_coordinate652	81_coordinate652
9_coordinate653	86_coordinate653
9_coordinate654	97_coordinate654
9_coordinate655	104_coordinate655
9_coordinate656	112_coordinate656
9_coordinate657	117_coordinate657
9_coordinate658	121_coordinate658
9_coordinate659	126_coordinate659
9_coordinate660	139_coordinate660
9_coordinate661	159_coordinate661
9_coordinate662	168_coordinate662
9_coordinate663	171_coordinate663
9_coordinate664	179_coordinate664
9_coordinate665	191_coordinate665
9_coordinate666	214_coordinate666
9_coordinate667	221_coordinate667
9_coordinate668	223_coordinate668
9_coordinate669	232_coordinate669
9_coordinate670	240_coordinate670
9_coordinate671	244_coordinate671
9_coordinate672	258_coordinate672
9_coordinate673	261_coordinate673
9_coordinate674	265_coordinate674
9_coordinate675	269_coordinate675
9_coordinate676	271_coordinate676
9_coordinate677	275_coordinate677
9_coordinate678	281_coordinate678
9_coordinate679	286_coordinate679
9_coordinate680	288_coordinate680
9_coordinate681	297_coordinate681
9_coordinate682	301_coordinate682
9_coordinate683	337_coordinate683
9_coordinate684	345_coordinate684
9_coordinate685	352_coordinate685
9_coordinate686	358_coordinate686
9_coordinate687	371_coordinate687
9_coordinate688	381_coordinate688
9_coordinate689	385_coordinate689
9_coordinate690	388_coordinate690
9_coordinate691	401_coordinate691
9_coordinate692	405_coordinate692
9_coordinate693	409_coordinate693
9_coordinate694	416_coordinate694
9_coordinate695	430_coordinate695
9_coordinate696	445_coordinate696
9_coordinate697	464_coordinate697
9_coordinate698	466_coordinate698
9_coordinate699	477_coordinate699
9_coordinate700	482_coordinate700
9_coordinate701	492_coordinate701
9_coordinate702	502_coordinate702
9_coordinate703	507_coordinate703
9_coordinate704	509_coordinate704
9_coordinate705	511_coordinate705
10_coordinate706	0_coordinate706
10_coordinate707	13_coordinate707
10_coordinate708	15_coordinate708
10_coordinate709	20_coordinate709
10_coordinate710	34_coordinate710
10_coordinate711	38_coordinate711
10_coordinate712	43_coordinate712
10_coordinate713	48_coordinate713
10_coordinate714	51_coordinate714
10_coordinate715	53_coordinate715
10_coordinate716	55_coordinate716
10_coordinate717	68_coordinate717
10_coordinate718	72_coordinate718
10_coordinate719	85_coordinate719
10_coordinate720	93_coordinate720
10_coordinate721	111_coordinate721
10_coordinate722	115_coordinate722
10_coordinate723	118_coordinate723
10_coordinate724	125_coordinate724
10_coordinate725	127_coordinate725
10_coordinate726	129_coordinate726
10_coordinate727	150_coordinate727
10_coordinate728	155_coordinate728
10_coordinate729	172_coordinate729
10_coordinate730	175_coordinate730
10_coordinate731	177_coordinate731
10_coordinate732	180_coordinate732
10_coordinate733	185_coordinate733
10_coordinate734	192_coordinate734
10_coordinate735	196_coordinate735
10_coordinate736	202_coordinate736
10_coordinate737	226_coordinate737
10_coordinate738	228_coordinate738
10_coordinate739	233_coordinate739
10_coordinate740	238_coordinate740
10_coordinate741	241_coordinate741
10_coordinate742	254_coordinate742
10_coordinate743	259_coordinate743
10_coordinate744	262_coordinate744
10_coordinate745	267_coordinate745
10_coordinate746	279_coordinate746
10_coordinate747	289_coordinate747
10_coordinate748	303_coordinate748
10_coordinate749	311_coordinate749
10_coordinate750	315_coordinate750
10_coordinate751	324_coordinate751
10_coordinate752	329_coordinate752
10_coordinate753	331_coordinate753
10_coordinate754	338_coordinate754
10_coordinate755	340_coordinate755
10_coordinate756	347_coordinate756
10_coordinate757	350_coordinate757
10_coordinate758	355_coordinate758
10_coordinate759	360_coordinate759
10_coordinate760	369_coordinate760
10_coordinate761	375_coordinate761
10_coordinate762	383_coordinate762
10_coordinate763	390_coordinate763
10_coordinate764	393_coordinate764
10_coordinate765	402_coordinate765
10_coordinate766	408_coordinate766
10_coordinate767	410_coordinate767
10_coordinate768	412_coordinate768
10_coordinate769	422_coordinate769
10_coordinate770	429_coordinate770
10_coordinate771	432_coordinate771
10_coordinate772	443_coordinate772
10_coordinate773	451_coordinate773
10_coordinate774	468_coordinate774
10_coordinate775	471_coordinate775
10_coordinate776	486_coordinate776
10_coordinate777	493_coordinate777
10_coordinate778	503_coordinate778
10_coordinate779	506_coordinate779
11_coordinate780	2_coordinate780
11_coordinate781	4_coordinate781
11_coordinate782	14_coordinate782
11_coordinate783	18_coordinate783
11_coordinate784	22_coordinate784
11_coordinate785	27_coordinate785
11_coordinate786	30_coordinate786
11_coordinate787	45_coordinate787
11_coordinate788	49_coordinate788
11_coordinate789	58_coordinate789
11_coordinate790	63_coordinate790
11_coordinate791	86_coordinate791
11_coordinate792	98_coordinate792
11_coordinate793	110_coordinate793
11_coordinate794	112_coordinate794
11_coordinate795	124_coordinate795
11_coordinate796	141_coordinate796
11_coordinate797	145_coordinate797
11_coordinate798	147_coordinate798
11_coordinate799	156_coordinate799
11_coordinate800	159_coordinate800
11_coordinate801	161_coordinate801
11_coordinate802	165_coordinate802
11_coordinate803	170_coordinate803
11_coordinate804	176_coordinate804
11_coordinate805	179_coordinate805
11_coordinate806	182_coordinate806
11_coordinate807	189_coordinate807
11_coordinate808	197_coordinate808
11_coordinate809	215_coordinate809
11_coordinate810	223_coordinate810
11_coordinate811	250_coordinate811
11_coordinate812	256_coordinate812
11_coordinate813	261_coordinate813
11_coordinate814	265_coordinate814
11_coordinate815	271_coordinate815
11_coordinate816	274_coordinate816
11_coordinate817	276_coordinate817
11_coordinate818	283_coordinate818
11_coordinate819	288_coordinate819
11_coordinate820	290_coordinate820
11_coordinate821	295_coordinate821
11_coordinate822	298_coordinate822
11_coordinate823	307_coordinate823
11_coordinate824	312_coordinate824
11_coordinate825	317_coordinate825
11_coordinate826	332_coordinate826
11_coordinate827	335_coordinate827
11_coordinate828	344_coordinate828
11_coordinate829	361_coordinate829
11_coordinate830	367_coordinate830
11_coordinate831	374_coordinate831
11_coordinate832	386_coordinate832
11_coordinate833	401_coordinate833
11_coordinate834	405_coordinate834
11_coordinate835	421_coordinate835
11_coordinate836	450_coordinate836
11_coordinate837	465_coordinate837
11_coordinate838	479_coordinate838
11_coordinate839	481_coordinate839
11_coordinate840	483_coordinate840
11_coordinate841	485_coordinate841
11_coordinate842	501_coordinate842
11_coordinate843	507_coordinate843
12_coordinate844	6_coordinate844
12_coordinate845	10_coordinate845
12_coordinate846	17_coordinate846
12_coordinate847	34_coordinate847
12_coordinate848	41_coordinate848
12_coordinate849	44_coordinate849
12_coordinate850	51_coordinate850
12_coordinate851	61_coordinate851
12_coordinate852	64_coordinate852
12_coordinate853	79_coordinate853
12_coordinate854	85_coordinate854
12_coordinate855	95_coordinate855
12_coordinate856	99_coordinate856
12_coordinate857	101_coordinate857
12_coordinate858	105_coordinate858
12_coordinate859	122_coordinate859
12_coordinate860	133_coordinate860
12_coordinate861	136_coordinate861
12_coordinate862	153_coordinate862
12_coordinate863	178_coordinate863
12_coordinate864	186_coordinate864
12_coordinate865	188_coordinate865
12_coordinate866	195_coordinate866
12_coordinate867	201_coordinate867
12_coordinate868	204_coordinate868
12_coordinate869	218_coordinate869
12_coordinate870	224_coordinate870
12_coordinate871	227_coordinate871
12_coordinate872	237_coordinate872
12_coordinate873	239_coordinate873
12_coordinate874	258_coordinate874
